name,website
HunterNotes-Job,https://hunternotes.com
"Save, Organize & Share Links and Screenshots - LinkNest",https://linknest.fun
CringedIn,https://getcringedin.com
Disparo Rápido,https://disparorapido.com.br
KeyStrokes - Realistic Typing Simulation,https://keystrok.es
SenderStack - AI Writing Assistant | Email | Chat | Summarize,https://senderstack.com
FogTeams for Google Meet - OWN YOUR TIME,https://fogteams.com
CHAiT - AI创作、评论和对话,https://chait.cc
BookClicker Companion,https://bccompanion.com
Gmail Attachment Renamer,https://shaunz.net
Sumvideo,https://sumvideo.video
CreativeBuilding | Network SiteMap,https://mc-creativebuilding.net
AI Comment Buddy,https://www.aicommentbuddy.com/
meoo,https://meoo.io
SearchScrub - Keyword History Cleaner,https://www.gulp-studio.com/
AutoChatX - TRCODEX WhatsApp Eklentisi,https://trcodex.com
Notilo - Enhanced Text Highlighter & Note Taker,https://yuvarajvodiboina.me
FlareFact,https://flarefact.ai
Magic Social,https://magic-social.com
mAIn COMPetition,https://lunarshuriken.com/
Trelson Kiosk App,https://trelson.com
"AI Webcam Effects + Recorder: Google Meet, Zoom, Discord & Other Meetings",https://webcameffects.app
Smartsheet HR,https://www.smartsheet.com/
Help Scout,https://helpscout.com
Checkfront,http://www.checkfront.com/
Lightning Autofill,https://tohodo.com
Text Blackness,https://textblackness.net
Webcam + Screen Video Recorder Video Editor,https://storyxpress.co
Copy as Plain Text,http://www.seabreezecomputers.com/
"Enigma, ChatGPT Sidebar",https://enigmalabs.site
Smart Fiverr: Improve your fiverr seller account,https://smartfiverr.com
Fablerr — AI for Social Media,https://fablerr.app
LeetBuddy,https://leetbuddy.dev
Ultimate Web Scraper,https://pandaextract.com
"Briefy: AI summarizer with visual views for webpages, YouTube, PDFs",https://briefy.ai
Online Piano,https://extensions.ee
SUIVI - Social media & influencers analytics,https://suivi.social
"Lunaris: AI-Powered Productivity Partner| GPT-4o, Claude, Grok & More",https://lunaris-ai-2025.webflow.io/
JSTorrent,https://jstorrent.com
Slid: AI-powered Video Note-taking App,https://slid.cc/
Fantasy Basketball WZRD,https://sportswzrd.com
factcheckit - Fact Checker,https://factcheckit.io
CSS Peeper,https://csspeeper.com/
Readlang Web Reader,https://readlang.com
EC Seller Tools,https://ecomcircles.com/
ReplyX AI – Smart Auto-Replies for X (Twitter),https://panicfeed.com
YouBoost - VPN for YouTube. Unblock YouTube. VPN for browser,https://uboost.works
Text to Outlook Calendar,https://text-to-cal.com
Chess.com Assistant,https://chessanalyzer.site/
Evernote Backup exporter,https://chatgpt2notion.com
Dev Docs Translation for Apple,https://appledocs.dev
GlanceAI,https://glanceai.io
Vrbo Image Downloader,https://letsfaster.com
Target Image/Video Downloader,https://letsfaster.com
YC vibe-check: apply with ai,https://co-founder.ai
"ChatGPT Message Tree: Quick Navigation, Search & Mind Map & Message Folding",https://chatgptmessagetree.com
SubtitleX,https://www.subtitlex.xyz/
KeyCrypt,https://keycrypt.in
Car Flip Tool,https://carfliptool.com
Photo Canvas Pro,https://ailocal.net
Articue WhatsApp ChatGPT,https://articue.io
Availabl - Calendar Availability Assistant,https://availabl.app
Cursorful - Screen Recorder with Auto Zoom,https://cursorful.com
Free Game - Dedalium by Loycom Games,https://dedalium.com
METJET Free Bulk Messaging,https://metjetsac.com
Translator for Instagram™ Web,https://www.shopibar.vip/
Cliarly: AI-læse- og skriveværktøj,https://cliarly.com
"BrowseWiz: AI Assistant & AI Agent | Gemini 2.5, Claude, DeepSeek and more",https://browsewiz.com
Web2Markdown - Markdown Web Clipper,https://chatopenai.pro/
Salesforza Sync Chrome Tabs to Google Sheet,https://salesforza.com
CVmatchlyAI – AI Resume Optimizer & Job Matcher,https://cvmatchly.ai
Tiktok Super Tool - Profile Analyzer & Video Downloader,https://pandanalytics.com
"Page Pacer - read faster, stay focused",https://pagepacer.com
ProcessPlan,https://processplan.com
Photo Finder,https://bluewave.website/
Steve the TA,https://teachersaide.xyz
WAOfficePRO,https://waofficepro.com
CanvasSolver,https://canvassolver.com
Studymark,https://studymark.ai
MeetAssist: AI Interview Assistant for Google Meet,https://meetassist.io
Topical,https://usetopical.com
Rexvai Extension,https://rexvai.com
JoinQuest Collector,https://joinquest.net
WebAssign Fixer,https://webassignfix.com/
Notan,https://getnotan.com
CollegeAppAssist,https://collegeappassist.com
Moly,https://moly.ai
generate.TAX VAT Companion,https://generate.tax
The Wyckoff AI Trading Assistant,https://solaitions.com
Pro Property Insights: Real Estate Analyzer,https://tidisventures.com
Altera AI,https://altera.ai
DrivenDATA,https://getdrivendata.com
GenStash,https://genstash.app
VoiceRecorder.AI - Record thoughts & let AI do the writing on any websites,https://voicerecorder.ai
HHHelper,https://hhhelper.com
CZLChat插件,https://czl.net
Hiva Highlighter,https://hiva.app
"YouTube summary, highlights, audio and video transcriptions - Clipsy",https://clipsy.tech
Explainer,https://explainer.com.br
langkey ｜Learning foreign languages without any effort,https://langkey.win
AI Toolbar - Reclaim Your Time Now,https://aitoolbar.co.uk
FUT Sniping Bot,https://futsnipingbot.com
Ultimate 432Hz Converter : Spotify YouTube Tidal & All Web Music Streaming,https://www.432player.com/
Hero Wars Simulator Standalone,https://hw-simulator.com
WORD's Sentences and Contexts,https://www.examword.com/
界图-图片批量下载,https://bm-com.com
Deepfake Detector,https://deepfakedetector.ai
ACG Helper,https://acghelper.com/
Homey: Productivity New Tab,https://homey.place
Notion Boost,https://gourav.io
Free Screencast Recording for Gmail,https://www.record-my-screen.com/
Kleinanzeigen-Enhanced - Das ultimative Kleinanzeigen Tool,https://kleinanzeigen-enhanced.de/
Walles.AI - Free AI Copilot,https://walles.ai
Translator for Telegram™ Web,https://www.shopibar.vip/
Email Finder by Leadzen.ai | Get B2B Contacts,https://leadzen.ai
İMEREK UYAP AVUKAT YARDIMCISI,https://imerek.com
RelayKit - Stunning emails made easy,https://relaykit.com/
Bardeen: Automate Browser Apps with AI,https://bardeen.ai
Context Menu Search,http://ashutoshdwivedi.com/
TrackMyOrders.com Amazon IP Catcher,https://trackmyorders.com/
Tangent TESS,https://tangent.rocks
Edit & Print Answers for Google Forms™,http://ez34.net/
Maps Scraper & Leads Data Extractor,https://mapsscraper.ai
Airbnb Image Downloader,https://letsfaster.com
Boomerang for Gmail,https://www.boomeranggmail.com/
